TIPO;COD_SAP_MATERIAL;MATERIAL;NOME_COMERCIAL;SALDO;FABRICANTE;STATUS_PORTFOLIO;CHIP_COMPATIVEL;TECNOLOGIA;CD;PREVISAO_W1;PREVISAO_W2;PREVISAO_W3;PREVISAO_W4;PREVISAO_W5;VALORATE10X;VALORATE24X;SEGMENTO;TIPO_MATERIAL
Smartphone;DGAP26963000;APPLE IPHONE 17 256GB PT;SmartPhone Apple iPhone 17 256GB - 5G;0;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;;;;7090;8232;PREÇO UNIFICADO;Aparelho
;DGAP26963000;APPLE IPHONE 17 256GB PT;SmartPhone Apple iPhone 17 256GB - 5G;-2;Apple;Portfólio Vigente;Nano Sim;5G;SPW1;;;;;;7090;8232;PREÇO UNIFICADO;Aparelho
Smartphone;DGAP26963000;APPLE IPHONE 17 256GB PT;SmartPhone Apple iPhone 17 256GB - 5G;-2;Apple;Portfólio Vigente;Nano Sim;5G;SPW1;;;;;;7090;8232;PREÇO UNIFICADO;Aparelho
;DGAP269G3000;APPLE IPHONE 17 256GB VD;SmartPhone Apple iPhone 17 256GB - 5G;0;Apple;Portfólio Vigente;Nano Sim;5G;SPW1;;;;;;7090;8232;PREÇO UNIFICADO;Aparelho
Smartphone;DGAP269G3000;APPLE IPHONE 17 256GB VD;SmartPhone Apple iPhone 17 256GB - 5G;0;Apple;Portfólio Vigente;Nano Sim;5G;SPW1;;;;;;7090;8232;PREÇO UNIFICADO;Aparelho
;DGAP27013000;APPLE IPHONE 17 512GB AZ;SmartPhone Apple iPhone 17 512GB - 5G;0;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;;;;8390;9744;PREÇO UNIFICADO;Aparelho
Smartphone;DGAP27013000;APPLE IPHONE 17 512GB AZ;SmartPhone Apple iPhone 17 512GB - 5G;0;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;;;;8390;9744;PREÇO UNIFICADO;Aparelho
;DGAP27013000;APPLE IPHONE 17 512GB AZ;SmartPhone Apple iPhone 17 512GB - 5G;0;Apple;Portfólio Vigente;Nano Sim;5G;SPW1;;;;;;8390;9744;PREÇO UNIFICADO;Aparelho
Smartphone;DGAP27013000;APPLE IPHONE 17 512GB AZ;SmartPhone Apple iPhone 17 512GB - 5G;0;Apple;Portfólio Vigente;Nano Sim;5G;SPW1;;;;;;8390;9744;PREÇO UNIFICADO;Aparelho
;DGAP270R3000;APPLE IPHONE 17 512GB LL;SmartPhone Apple iPhone 17 512GB - 5G;-1;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;;;;8390;9744;PREÇO UNIFICADO;Aparelho
Smartphone;DGAP270R3000;APPLE IPHONE 17 512GB LL;SmartPhone Apple iPhone 17 512GB - 5G;-1;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;;;;8390;9744;PREÇO UNIFICADO;Aparelho
;DGAP27063000;APPLE IPHONE 17 512GB PT;SmartPhone Apple iPhone 17 512GB - 5G;0;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;;;;8390;9744;PREÇO UNIFICADO;Aparelho
Smartphone;DGAP27063000;APPLE IPHONE 17 512GB PT;SmartPhone Apple iPhone 17 512GB - 5G;0;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;;;;8390;9744;PREÇO UNIFICADO;Aparelho
Smartphone;DGAP29323000;APPLE IPHONE 17E 256GB BR;SmartPhone Apple Iphone 17e 256GB - 5G;65;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;;;;5500;6384;PREÇO UNIFICADO;Aparelho
Smartphone;DGAP29323000;APPLE IPHONE 17E 256GB BR;SmartPhone Apple Iphone 17e 256GB - 5G;104;Apple;Portfólio Vigente;Nano Sim;5G;SPW1;;;;;;5500;6384;PREÇO UNIFICADO;Aparelho
Smartphone;DGAP29363000;APPLE IPHONE 17E 256GB PT;SmartPhone Apple Iphone 17e 256GB - 5G;92;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;;;;5500;6384;PREÇO UNIFICADO;Aparelho
Smartphone;DGAP29363000;APPLE IPHONE 17E 256GB PT;SmartPhone Apple Iphone 17e 256GB - 5G;153;Apple;Portfólio Vigente;Nano Sim;5G;SPW1;;;;;;5500;6384;PREÇO UNIFICADO;Aparelho
Smartphone;DGAP293P3000;APPLE IPHONE 17E 256GB RS;SmartPhone Apple Iphone 17e 256GB - 5G;3;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;;;;5500;6384;PREÇO UNIFICADO;Aparelho
Smartphone;DGAP293P3000;APPLE IPHONE 17E 256GB RS;SmartPhone Apple Iphone 17e 256GB - 5G;3;Apple;Portfólio Vigente;Nano Sim;5G;SPW1;;;;;;5500;6384;PREÇO UNIFICADO;Aparelho
